n,distribution,label,method,clean_mae_pct,clean_sd,cont_upper_mae_pct_eps0.05,cont_lower_mae_pct_eps0.05
500,Weibull,Weibull,Quantile,3.984893950180557,0.09426140689724881,4.349952503459516,4.349952503459516
500,Weibull,Weibull,L1,3.3742673461318056,0.07547849824264088,4.466487400524777,3.1983151820783373
500,Weibull,Weibull,L2,3.0246572527829363,0.07096396099846486,4.458143511803692,2.8096650778175913
500,Weibull,Weibull,MAD-Q13,3.0871076109496576,0.0766628836255264,4.415899584948169,3.195277927945147
500,Log-Normal,Log-Normal,MLE,2.121273295640286,0.03175173496517099,87.77070550563522,89.27409946167137
500,Log-Normal,Log-Normal,L-moment,3.1959767804934147,0.044235699715016515,183.87542385964423,3.0393801916169916
500,Log-Normal,Log-Normal,Quantile,4.848741866031025,0.07271319781418648,5.34451454856203,5.34451454856203
500,Log-Normal,Log-Normal,L1,3.148006596302144,0.04393776157623775,4.559324463060522,2.9389937549258005
500,Log-Normal,Log-Normal,L2,3.1530407871850685,0.04420637047702802,4.547375499375683,2.9809780623748336
500,Log-Normal,Log-Normal,MAD-Q13,3.1155952036780734,0.04542878031601197,4.5799759012725705,3.112007362338609
250,Pareto I,Pareto I,MLE,4.749664638758293,0.09881732064472146,30.138638569672487,nan
250,Pareto I,Pareto I,L-moment,9.256269328347777,0.15801550528340466,29.996364635416217,6.064597496082126
250,Pareto I,Pareto I,Quantile,5.956937563997414,0.12842001734239059,4.805213710194453,4.805213710194453
250,Pareto I,Pareto I,L1,7.799523020209852,0.12880521847646606,5.434964337588351,5.883376340233104
250,Pareto I,Pareto I,L2,7.750417802448066,0.1296325963226529,5.431495840926008,6.134824895294985
250,Pareto I,Pareto I,MAD-Q13,6.079537635440943,0.12289906704478294,5.374585654063117,4.542361600234127
250,Lomax,Pareto II,MLE,4.580078125000016,0.09808897164380535,30.579427083333336,4.101562500000014
250,Lomax,Pareto II,L-moment,13.478756224690162,0.27368059648539717,29.962579995853467,11.155403351644512
250,Lomax,Pareto II,Quantile,5.7389093680177155,0.1269067354995401,4.6767424347625335,4.6767424347625335
250,Lomax,Pareto II,L1,7.630049131148324,0.12954974899433813,5.4349643375883145,6.395360531319135
250,Lomax,Pareto II,L2,7.521771384091462,0.1301470608178149,5.431495840925986,6.432542625159177
250,Lomax,Pareto II,MAD-Q13,6.044978914952422,0.12226345379149665,5.176921807448265,4.689562932307186
250,Log-Logistic,Pareto III,MLE,3.548729841172234,0.07705515773052288,23.856075326963698,24.30298519941453
250,Log-Logistic,Pareto III,L-moment,6.32830538002985,0.16055111774289674,46.241818195167795,6.702405254465224
250,Log-Logistic,Pareto III,Quantile,8.634966697407592,0.2007283846206283,9.10974132162611,9.10974132162611
250,Log-Logistic,Pareto III,L1,6.636689122296053,0.1342668862167852,12.61626774163113,7.5568183155891635
250,Log-Logistic,Pareto III,L2,6.707694166636442,0.13585482708392113,12.609989708866348,7.30242763654044
250,Log-Logistic,Pareto III,MAD-Q13,5.963619407427755,0.1342944770987652,8.78351947757953,6.842585715512595
250,Pareto IV,Pareto IV,MLE,4.527491871198504,0.0977059289191183,30.616165175652892,4.146583541507831
250,Pareto IV,Pareto IV,L-moment,13.776643754811948,0.29685415345357297,29.996364635416217,11.923146180627457
250,Pareto IV,Pareto IV,Quantile,5.652705856216178,0.1253024968569796,4.701691228150814,4.701691228150814
250,Pareto IV,Pareto IV,L1,6.964620722695265,0.12808324736955634,5.287990644141146,6.670448269243293
250,Pareto IV,Pareto IV,L2,7.3211070535094125,0.1287036866003756,5.287567260367801,6.726554810391047
250,Pareto IV,Pareto IV,MAD-Q13,6.04300376205907,0.11976272404183014,5.098495666783576,4.891849319686685
250,Frechet,Frechet,MLE,2.8906250000000355,0.06948879329134498,21.97916666666672,11.809895833333323
250,Frechet,Frechet,L-moment,8.540283788146263,0.16082417468739177,29.996364635416217,7.175599827478514
250,Frechet,Frechet,Quantile,7.335630386982617,0.15714640245027675,6.153558031202003,6.153558031202003
250,Frechet,Frechet,L1,6.6453910057511445,0.12338872095385878,5.8536964724172105,6.290543249656004
250,Frechet,Frechet,L2,6.944857664025468,0.12473625589842556,5.8426530990783805,6.32732123370663
250,Frechet,Frechet,MAD-Q13,6.286205604611558,0.12966592389883794,5.814367058189948,5.266857134939536
250,Gumbel,Gumbel,MLE,3.067775081821905,0.046608908819589075,5.601572833298901,14.122817772770873
250,Gumbel,Gumbel,L-moment,3.6393786700316513,0.0564790653323857,5.601572833298901,6.938905998180356
250,Gumbel,Gumbel,Quantile,6.739531079917632,0.09730820110350413,5.3765587020595635,6.672107115839698
250,Gumbel,Gumbel,L1,4.871075973891248,0.06508022055617103,4.976568054519675,6.482330470900877
250,Gumbel,Gumbel,L2,3.7111057779446455,0.05884400633669636,4.941220185810247,7.994863520425316
250,Gumbel,Gumbel,MAD-Q13,4.4778751549704285,0.06471432085431911,5.115850560707402,6.57132846880808
250,Weibull,Weibull,MLE,3.065889064704249,0.0702836704888683,74.26084544135688,20.778728363829693
250,Weibull,Weibull,L-moment,3.329432084518606,0.07776025503376718,79.99625079310148,3.8867483513470873
250,Weibull,Weibull,Quantile,5.85496442746083,0.14278285472954744,5.958388777281787,5.958388777281787
250,Weibull,Weibull,L1,5.204382953920701,0.10813869026502607,6.781136588814162,4.65998410556853
250,Weibull,Weibull,L2,4.56459145682792,0.10214407300617613,6.762685370339379,4.60393650230162
250,Weibull,Weibull,MAD-Q13,5.211852027430405,0.11151740817372315,6.760383910305045,5.132544838667748
250,Log-Normal,Log-Normal,MLE,2.836574989401125,0.04582541306630679,82.00854669147635,83.0467381709393
250,Log-Normal,Log-Normal,L-moment,4.773841626174141,0.06723537759822276,187.08561114669527,3.9460222701918957
250,Log-Normal,Log-Normal,Quantile,8.230312589685473,0.11369968019274773,9.187638166282008,9.187638166282008
250,Log-Normal,Log-Normal,L1,4.339092092384872,0.06659849116909117,7.3787718935876825,4.62546996583581
250,Log-Normal,Log-Normal,L2,4.349000159502481,0.06649584283242148,7.384807513599356,4.61063464137057
250,Log-Normal,Log-Normal,MAD-Q13,4.482509119390865,0.07089437067635289,7.384807513599356,4.840433541070044
